"id","age","mean","mode","lower","upper","variance"
"Aminoglycosides","min",0.0788209407021754,0.06,0.0274211536261081,0.134224384588539,0.000814109191153693
"Aminoglycosides","age_max",0.760672,1,0.51,1,0.0316452774714943
"Aminoglycosides","age_min",0.04509,0,0,0.11,0.0415743067613523
"Aminoglycosides","zero",0.0794916925095961,0.06,0.0304313544521814,0.138709666206109,0.000835652441225683
"Aminoglycosides","hundred",0.156550513782559,0.13,0.0424386613097854,0.292213723809161,0.00471849389911384
"Aminoglycosides","max_difference",0.0982208669527216,0.06,0.019198805625948,0.20110586895642,0.00258299157578982
"Aminoglycosides","age_max_difference",0.715582,1,0.51,1,0.102826906657331
"Aminoglycosides","zero_hundred_difference",0.0770588212729633,0.05,-0.0182832418176159,0.19272643625682,0.00332591719702975
"Aminoglycosides","1",0.0794916925095961,0.06,0.0304313544521814,0.138709666206109,0.000835652441225683
"Aminoglycosides","2",0.0810381763866518,0.07,0.031437436633192,0.140269513343623,0.000845161933337115
"Aminoglycosides","3",0.0825971677892735,0.07,0.0325857796250192,0.142332071196042,0.000855494165477557
"Aminoglycosides","4",0.0841678684470398,0.07,0.0321214266879499,0.142515696620075,0.000866677300002792
"Aminoglycosides","5",0.0857494512499565,0.07,0.0316571731924673,0.142837187372548,0.000878738225969173
"Aminoglycosides","6",0.0873410612426489,0.07,0.0320438830313916,0.144357766192962,0.000891702314501494
"Aminoglycosides","7",0.0889418167048291,0.07,0.0362931627928738,0.149431277334971,0.000905593177174297
"Aminoglycosides","8",0.0905508103145225,0.08,0.0368353425330122,0.150379526469823,0.00092043242970857
"Aminoglycosides","9",0.092167110390064,0.08,0.0374716703606701,0.152004963709936,0.000936239463315904
"Aminoglycosides","10",0.0937897622064251,0.08,0.0378332228338366,0.153408599456209,0.000953031226023287
"Aminoglycosides","11",0.0954177893810231,0.08,0.0415371814732966,0.158038806967858,0.000970822016282733
"Aminoglycosides","12",0.0970501953237894,0.08,0.0423153457508296,0.159923020591505,0.000989623291110693
"Aminoglycosides","13",0.0986859647459419,0.09,0.0429601440812595,0.161500808264708,0.00100944349091275
"Aminoglycosides","14",0.10032406522162,0.09,0.0448900630687994,0.164955072320084,0.00103028788303049
"Aminoglycosides","15",0.101963448796302,0.09,0.045296275882898,0.166929319642969,0.00105215842590095
